Water Year,Watershed 1 (Max Q cfs),Watershed 2 (Max Q cfs),"Watershed 1 (Area normalized, A = 95.9 ha)","Watershed 2 (Area normalized, A= 60.3 ha)",Index12
1953,40.139,26.951,102.39,109.33,1
1954,40.639,18.609,103.66,75.49,1
1955,39.203,13.571,100.00,55.05,1
1956,36.129,19.88,92.16,80.65,1
1957,55.786,24.297,142.30,98.57,1
1958,55.037,27.374,140.39,111.05,1
1959,31.081,13.873,79.28,56.28,1
1960,13.544,6.975,34.55,28.30,1
1961,41.846,21.822,106.74,88.53,1
1962,42.629,20.902,108.74,84.79,1
1963,23.645,10.228,60.31,41.49,2
1964,38.91,7.819,99.25,31.72,2
1965,61.168,35.027,156.03,142.10,2
1966,40.3,10.847,102.80,44.00,2
1967,26.974,12.716,68.81,51.59,3
1968,28.56,12.077,72.85,48.99,3
1969,43.222,19.24,110.25,78.05,3
1970,28.56,14.94,72.85,60.61,3
1971,47.831,19.399,122.01,78.70,3
1972,56.162,26.904,143.26,109.14,3
1973,20.811,6.721,53.08,27.27,3
1974,33.884,9.797,86.43,39.74,3
1975,37.359,14.8,95.30,60.04,3
1976,52.239,25.288,133.25,102.59,3
1977,7.747,3.297,19.76,13.38,3
1978,38.223,19.399,97.50,78.70,3
1979,38.41,12.813,97.98,51.98,3
1980,37.852,16.412,96.55,66.58,3
1981,32.553,16.485,83.04,66.88,3
1982,40.364,19.84,102.96,80.49,4
1983,26.198,11.179,66.83,45.35,4
1984,43.752,21.36,111.60,86.65,4
1985,18.76,6.663,47.85,27.03,4
1986,50.011,25.106,127.57,101.85,4
1987,25.333,9.402,64.62,38.14,4
1988,30.635,12.077,78.14,48.99,4
1989,56.918,21.907,145.19,88.87,4
1990,39.539,13.074,100.86,53.04,4
1991,18.891,6.644,48.19,26.95,4
1992,21.642,8.961,55.20,36.35,4
1993,20.948,9.071,53.43,36.80,4
1994,21.086,7.453,53.79,30.23,4
1995,41.456,17.836,105.75,72.36,4
1996,84.268,45.962,214.95,186.46,4
1997,49.869,22.719,127.21,92.17,4
1998,25.131,8.085,64.10,32.80,4
1999,45.34,28.342,115.65,114.98,4
2000,37.276,24.249,95.08,98.37,4
2001,7.328,4,18.69,16.23,4
2002,34.753,17.693,88.65,71.78,4
2003,27.637,12.703,70.50,51.53,4
2004,28.338,17.406,72.28,70.61,4
2005,16.776,7.598,42.79,30.82,4
2006,44.408,25.68,113.28,104.18,4
2007,24.301,13.171,61.99,53.43,4
2008,21.787,10.058,55.57,40.80,4
2009,40.824,20.103,104.13,81.55,4
2010,19.44,8.893,49.59,36.08,4
2011,36.267,21.577,92.51,87.53,4
2012,39.937,20.873,101.87,84.68,4
2013,25.54,14.754,65.15,59.85,4
2014,36.531,17.982,93.18,72.95,4
2015,39.606,19.837,101.03,80.47,4
2016,33.726,17.121,86.03,69.46,4
2017,29.237,18.493,74.58,75.02,4
2018,19.995,10.678,51.00,43.32,4
2019,25.854,15.356,65.95,62.30,4
2020,12.512,7.259,31.92,29.45,4
