# Streamflow for the Columbia River at The Dalles, OR
# (units cfs)
Year,Peak Daily (cfs),Annual Mean (cfs)
1858,563000,
1859,847000,
1860,668000,
1861,618000,
1862,948000,
1863,777000,
1864,654000,
1865,714000,
1866,839000,
1867,671000,
1868,483000,
1869,328000,
1870,777000,
1871,856000,
1872,737000,
1873,638000,
1874,582000,
1875,684000,
1876,958000,
1877,486000,
1878,485000,
1879,643000,253891.6077
1880,914000,276025.2738
1881,598000,264888.3575
1882,883000,243717.0242
1883,573000,223983.3573
1884,698000,226433.691
1885,482000,226570.9409
1886,673000,223014.3575
1887,896000,272184.0243
1888,564000,214072.2742
1889,302000,146003.3577
1890,633000,208108.2744
1891,448000,177420.3573
1892,607000,210089.2744
1893,679000,231004.3571
1894,1240000,325588.9383
1895,475000,205832.3574
1896,785000,241469.691
1897,780000,254739.6911
1898,649000,242728.9411
1899,787000,246303.7743
1900,547000,236237.2742
1901,662000,230617.2742
1902,644000,209451.5243
1903,787000,223194.8577
1904,629000,254348.0241
1905,412000,152084.5247
1906,374000,168880.774
1907,587000,241485.6078
1908,653000,208443.5241
1909,675000,202029.6078
1910,566000,224582.358
1911,574000,199740.7743
1912,568000,195459.8574
1913,759000,225264.3577
1914,493000,198896.5244
1915,328000,158950.2741
1916,727000,250295.1078
1917,727000,220469.774
1918,578000,216619.2743
1919,553000,184226.2747
1920,428000,169005.1073
1921,773000,242292.9413
1922,677000,195473.0239
1923,581000,191543.6907
1924,433000,149301.9414
1925,642000,213929.5248
1926,269000,130459.1913
1927,690000,218382.441
1928,766000,243395.1912
1929,460000,142388.9167
1930,332000,142941
1931,308000,131230.0833
1932,578000,200002.75
1933,722000,211175
1934,453000,220459.3333
1935,480000,185079.8333
1936,529000,172482.4167
1937,379000,140511.4167
1938,609000,204343.4167
1939,387000,160904.25
1940,370000,162932
1941,273000,149493.5
1942,431000,193483.1667
1943,546000,220625.5833
1944,327000,129804.9167
1945,508000,163208.5833
1946,583000,207857.25
1947,542000,206792.4167
1948,1010000,248388.3333
1949,624000,192961.75
1950,744000,232628.0833
