"#  USGS 12189500 SAUK RIVER NEAR SAUK, WA",,,
#  agency_cd     Agency Code,,,
#  water_year Water year of peak flow,,,
#  peak_dt       Date of peak streamflow (format YYYY-MM-DD),,,
#  peak_va       Annual peak streamflow value in cfs,,,
#  gage_ht       Gage height for the associated peak streamflow in feet,,,
water_year,peak_dt,peak_va,gage_ht
4d,10d,8s,8s
1929,10/9/28,21800,9.33
1930,2/5/30,15200,7.99
1931,1/28/31,21800,9.32
1932,2/26/32,68500,15.83
1933,11/13/32,42500,12.62
1934,12/22/33,56600,14.4
1935,11/5/34,49400,13.54
1936,6/3/36,16600,8.33
1937,6/3/37,15900,8.15
1938,4/18/38,29900,10.78
1939,1/1/39,25200,9.96
1940,12/15/39,20000,9
1941,5/17/41,7980,6.8
1942,12/2/41,19000,8.85
1943,11/23/42,19500,9.02
1944,12/3/43,29900,10.8
1945,2/8/45,26800,10.28
1946,10/25/45,25000,9.96
1947,10/25/46,33200,11.41
1948,10/19/47,35900,11.74
1949,5/13/49,19700,9.03
1950,11/27/49,82400,16.93
1951,2/10/51,62700,14.97
1952,6/5/52,13600,7.65
1953,1/31/53,28400,10.56
1954,12/20/53,15600,8.17
1955,6/11/55,23900,9.56
1956,10/25/55,40600,12.23
1957,12/10/56,28500,10.41
1958,5/26/58,14600,7.94
1959,11/20/58,36100,11.59
1960,11/23/59,44600,12.8
1961,1/16/61,35500,11.5
1962,1/3/62,27800,10.27
1963,11/20/62,44800,12.83
1964,1/1/64,24400,9.65
1965,11/30/64,23800,9.73
1966,5/6/66,15800,8.23
1967,12/13/66,27400,10.26
1968,10/28/67,47400,13.2
1969,1/5/69,22200,9.4
1970,6/4/70,17300,8.52
1971,1/31/71,32000,10.98
1972,3/6/72,31600,10.92
1973,12/26/72,26300,10.09
1974,1/16/74,46700,13.1
1975,12/21/74,35800,11.61
1976,12/4/75,65300,15.03
1977,1/18/77,28400,10.42
1978,11/26/77,35800,11.55
1979,11/4/78,22100,9.38
1980,12/18/79,56200,14.27
1981,12/26/80,98600,18.24
1982,2/15/82,27400,10.26
1983,12/3/82,52500,13.84
1984,1/5/84,39600,12.08
1985,6/7/85,22600,9.46
1986,1/19/86,47600,13.22
1987,11/23/86,42100,12.44
1988,12/9/87,19200,8.88
1989,10/16/88,35500,11.54
1990,12/4/89,59600,14.55
1991,11/24/90,83400,16.99
1992,12/5/91,19800,9
1993,5/13/93,17400,8.54
1994,3/2/94,15400,8.13
1995,2/19/95,31300,10.92
1996,11/8/95,79000,16.57
1997,3/19/97,37000,11.75
1998,10/30/97,40600,12.24
1999,12/29/98,29200,10.6
2000,11/12/99,46700,13.03
2001,5/24/01,13600,7.8
2002,1/8/02,48400,13.32
2003,1/26/03,34200,11.45
2004,10/21/03,106000,18.96
2005,12/11/04,55000,13.84
2006,12/24/05,22200,9.2
2007,11/6/06,86400,17.13
2008,12/4/07,45700,12.8
2009,11/12/08,41700,12.18
2010,11/17/09,29500,10.13
2011,12/12/10,44600,13.21
2012,11/23/11,21100,9.48
2013,9/29/13,20800,9.36
2014,3/9/14,22900,9.77
2015,11/28/14,40300,12.62
2016,11/17/15,52800,14.28
2017,10/20/16,33700,11.63
