date_time(UTC:PDT+7), manual_stage(cm), manual_stage(ft), discharge(cfs),discharge(m^3/s)
6/20/03 16:40,153.54,5.04,417.3,11.8148903
6/20/03 16:47,153.54,5.04,422.2,11.95362254
6/20/03 18:59,153.54,5.04,424,12.0045854
7/1/03 18:20,128.24,4.21,242,6.851673741
7/9/03 18:37,115.18,3.78,139.03,3.936314877
7/17/03 22:41,108.83,3.57,101.95,2.886479909
7/28/03 15:41,116.45,3.82,154.02,4.360722271
8/5/03 19:12,96.13,3.15,59.36,1.680641956
5/4/04 23:56,185.23,6.08,802.5,22.72094288
6/21/04 17:12,134.33,4.41,254.5,7.205582509
6/22/04 22:07,132.33,4.34,225.52,6.385080422
6/26/04 17:00,129.15,4.24,214.95,6.085815168
7/13/04 15:20,103.25,3.39,105.93,2.99916446
7/22/04 17:39,105.08,3.45,77.4,2.191403089
7/29/04 22:30,94.1,3.09,23.33,0.660535324
8/14/04 20:43,91.66,3.01,43.22,1.223674955
6/9/05 21:52,154.76,5.08,438.4,12.4122883
6/10/05 1:48,167.25,5.49,608.84,17.23790513
6/10/05 16:48,168.78,5.54,604.07,17.10285354
6/11/05 2:00,195.19,6.4,908.25,25.71501106
6/13/05 20:48,180.66,5.93,761.61,21.56323652
6/14/05 21:29,191.94,6.3,928.7,26.2940058
6/15/05 22:39,194.38,6.38,981.5,27.78891643
6/16/05 16:45,200.93,6.59,916.93,25.9607653
6/18/05 1:00,177.31,5.82,653.35,18.49810347
8/18/05 0:01,107.82,3.54,95.57,2.705844874
6/13/06 23:37,189.2,6.21,841,23.81098189
6/14/06 19:26,168.78,5.54,623,17.63881298
6/15/06 16:48,174.57,5.73,605,17.12918435
6/16/06 21:00,183.1,6.01,740,20.95139904
6/20/06 19:00,197.12,6.47,959,27.15188065
6/21/06 23:08,200.27,6.57,970,27.46332037
6/22/06 21:35,196.82,6.46,933,26.41575042
6/27/06 19:10,191.02,6.27,824,23.32966596
6/28/06 19:00,212.33,6.97,1292,36.58001022
6/30/06 22:05,179.95,5.9,671,18.99782265
7/24/06 20:21,144.39,4.74,320.1,9.062895721
7/26/06 16:16,139.82,4.59,306.05,8.665102267
9/14/06 23:35,86.48,2.84,26.33,0.745473428
9/20/06 23:58,81.15,2.66,14.74,0.417329219
9/27/06 20:59,79.78,2.62,10.06,0.284825776
5/28/08 20:55,122.83,4.03,188,5.322787865
6/2/08 20:37,145.08,4.76,353.85,10.01844939
6/4/08 18:06,159.71,5.24,469.32,13.28771703
6/5/08 23:22,148.43,4.87,394.7,11.17502325
6/9/08 19:00,122.52,4.02,430.31,12.18323854
6/10/08 14:55,170.37,5.59,565.86,16.02102522
6/11/08 21:55,146.3,4.8,419.24,11.86981694
6/17/08 18:09,151.17,4.96,386.46,10.94172659
7/9/08 21:30,109.11,3.58,246.87,6.989556597
7/14/08 16:05,114.6,3.76,137.69,3.898375857
7/16/08 19:00,111.55,3.66,123.97,3.509925594
7/25/08 19:00,95.09,3.12,53.3,1.509066985
7/28/08 23:03,91.44,3,45.88,1.298986741
8/4/08 21:00,87.78,2.88,30.17,0.854194202
9/11/08 18:20,78.63,2.58,6.48,0.183466305
9/18/08 21:40,77.42,2.54,3.79,0.107305138
9/26/08 17:30,75.59,2.48,4.02,0.11381706
5/13/09 19:07,166.41,5.46,596.47,16.88767701
5/14/09 18:11,167.02,5.48,573.61,16.24044866
5/20/09 16:28,185.31,6.08,828.58,23.45933813
5/20/09 23:40,190.49,6.25,953,26.98200444
5/21/09 15:30,185.31,6.08,812.06,22.99161231
5/26/09 15:42,177.99,5.84,712.72,20.17902855
5/27/09 17:57,170.07,5.58,611.83,17.3225601
6/15/09 18:36,133.5,4.38,246.55,6.980496533
6/17/09 17:31,144.47,4.74,315.12,8.921898468
6/24/09 21:24,140.51,4.61,308.12,8.723709559
6/26/09 20:46,140.51,4.61,308.22,8.726540829
6/29/09 17:35,142.94,4.69,348.28,9.860747647
7/14/09 17:30,118.87,3.9,165.2,4.677258273
7/24/09 20:44,107.28,3.52,107.95,3.056356117
8/10/09 20:18,118.56,3.89,30.01,0.849664169
9/1/09 23:00,82.9,2.72,16.93,0.479334035
6/28/10 23:34,196.89,6.46,971.45,27.50437378
7/9/10 15:46,156.05,5.12,406.7,11.51477566
7/13/10 23:50,150.56,4.94,383.1,10.84659591
7/22/10 15:55,121.91,4,190.03,5.380262649
8/4/10 22:40,90.52,2.97,62.09,1.757935631
8/10/10 21:42,94.18,3.09,48.86,1.383358591
8/20/10 17:45,89.91,2.95,39.08,1.106460371
9/10/10 20:36,79.55,2.61,8.7,0.246320502
8/3/11 18:30,137.76,4.52,296.19,8.385939031
6/28/12 0:40,93.57,3.07,46.7,1.322203156
7/23/12 19:25,91.44,3,36.11,1.022371648
7/26/12 18:50,88.39,2.9,32.32,0.91506651
8/9/12 22:15,89.91,2.95,34.21,0.968577515
8/16/12 21:00,92.35,3.03,36.44,1.031714839
8/21/12 22:33,91.44,3,40.9,1.157989488
9/4/12 18:20,80.77,2.65,28.4,0.80408072
9/12/12 21:20,82.9,2.72,43.63,1.235283163
9/24/12 18:00,79.24,2.6,7.93,0.224519722
7/11/13 22:29,94.79,3.11,51.25,1.451025947
7/17/13 17:04,90.22,2.96,35.05,0.992360184
7/18/13 22:05,89.3,2.93,31.75,0.89892827
7/24/13 22:00,90.83,2.98,36.2,1.024919791
8/20/13 21:29,96.31,3.16,53.56,1.516428288
7/17/14 19:38,111.55,3.66,122.9,3.479631003
8/27/14 17:34,81.07,2.66,10.96,0.310307207
7/18/16 22:37,101.34733,3.325,79,2.236703411
6/20/17 20:30,234.696,7.7,1245,35.24931326
6/21/17 19:35,233.172,7.65,1690,47.84846538
6/21/17 21:50,242.316,7.95,1670,47.28221136
6/29/17 19:54,191.4144,6.28,862,24.40554862
7/24/17 20:34,151.1808,4.96,397.5,11.25429881
8/24/17 22:08,108.5088,3.56,123.02,3.483028527
8/24/17 22:20,108.5088,3.56,100.41,2.842878349
9/25/17 15:30,92.3544,3.03,40.5,1.146664407
6/25/18 21:48,119.1768,3.91,123.148,3.486652553
